idx	protein
0	A0A024R1R8
1	A0A024RBG1
2	A0A075B6H7
3	A0A075B6H8
4	A0A075B6H9
5	A0A075B6I0
6	A0A075B6I1
7	A0A075B6I3
8	A0A075B6I4
9	A0A075B6I6
10	A0A075B6I7
11	A0A075B6I9
12	A0A075B6J1
13	A0A075B6J2
14	A0A075B6J6
15	A0A075B6J9
16	A0A075B6K0
17	A0A075B6K2
18	A0A075B6K4
19	A0A075B6K5
20	A0A075B6K6
21	A0A075B6L2
22	A0A075B6L6
23	A0A075B6N1
24	A0A075B6N2
25	A0A075B6N3
26	A0A075B6N4
27	A0A075B6P5
28	A0A075B6Q5
29	A0A075B6R0
30	A0A075B6R2
31	A0A075B6R9
32	A0A075B6S0
33	A0A075B6S2
34	A0A075B6S4
35	A0A075B6S5
36	A0A075B6S6
37	A0A075B6S9
38	A0A075B6T6
39	A0A075B6T7
40	A0A075B6T8
41	A0A075B6U4
42	A0A075B6V5
43	A0A075B6W5
44	A0A075B6X5
45	A0A075B6Y3
46	A0A075B6Y9
47	A0A075B700
48	A0A075B706
49	A0A075B734
50	A0A075B759
51	A0A075B767
52	A0A087WSX0
53	A0A087WSY4
54	A0A087WSY6
55	A0A087WSZ0
56	A0A087WSZ9
57	A0A087WT01
58	A0A087WT02
59	A0A087WT03
60	A0A087WTH1
61	A0A087WUL8
62	A0A087WUV0
63	A0A087WV53
64	A0A087WV62
65	A0A087WVF3
66	A0A087WW87
67	A0A087WWA1
68	A0A087WWS6
69	A0A087WXM9
70	A0A087WXS9
71	A0A087X0K7
72	A0A087X0M5
73	A0A087X179
74	A0A087X1C5
75	A0A087X1G2
76	A0A096LNP1
77	A0A096LNW5
78	A0A096LP01
79	A0A096LP49
80	A0A096LP55
81	A0A096LPI5
82	A0A096LPK9
83	A0A0A0MRZ7
84	A0A0A0MRZ8
85	A0A0A0MRZ9
86	A0A0A0MS00
87	A0A0A0MS01
88	A0A0A0MS02
89	A0A0A0MS03
90	A0A0A0MS04
91	A0A0A0MS05
92	A0A0A0MS06
93	A0A0A0MS14
94	A0A0A0MS15
95	A0A0A0MT36
96	A0A0A0MT70
97	A0A0A0MT76
98	A0A0A0MT78
99	A0A0A0MT87
100	A0A0A0MT89
101	A0A0A0MT94
102	A0A0A0MTA4
103	A0A0A0MTA7
104	A0A0A6YYC5
105	A0A0A6YYD4
106	A0A0A6YYG2
107	A0A0A6YYG3
108	A0A0A6YYJ7
109	A0A0A6YYK1
110	A0A0A6YYK4
111	A0A0A6YYK6
112	A0A0A6YYK7
113	A0A0A6YYL3
114	A0A0B4J1U3
115	A0A0B4J1U4
116	A0A0B4J1U6
117	A0A0B4J1U7
